target_params,allocation,hidden_dims,parameter_count,accuracy_mean,accuracy_std,knn_mean,knn_std,distance_mean,distance_std,first_pc_mean,first_pc_std,arc_r2_mean,arc_r2_std,n_runs
750,back_loaded,"(4, 8, 16)",740,0.9687333333333333,0.005946053780075917,0.932,0.025664188192022704,0.8307411000175898,0.1391140959793299,0.6318737864494324,0.09093023358730265,0.9037795057092911,0.06957882757333964,5
750,uniform,"(12, 12, 12)",764,0.9761333333333333,0.004419653078391285,0.9526466666666668,0.008149014937061088,0.9006510877590698,0.028747519246833532,0.6240329265594482,0.03452749773337746,0.9839700479105218,0.01023109548832713,5
1000,back_loaded,"(5, 10, 20)",967,0.9736666666666667,0.0037416573867739516,0.9415466666666668,0.017254413284078278,0.8770667445351681,0.03806487938321759,0.6071419060230255,0.08639531673146837,0.9792468201664285,0.0066652964507525935,5
1000,front_loaded,"(32, 16, 8)",1048,0.9734,0.005932022327072703,0.9527466666666667,0.01713601794791051,0.8723274673287131,0.0902933877059956,0.5997405886650086,0.05723922179459258,0.9537330919145074,0.024670485354605497,5
1000,uniform,"(15, 15, 15)",1037,0.9726666666666667,0.002857738033247054,0.9527066666666668,0.009519027728129046,0.8968979365770056,0.020170710983950887,0.5808208823204041,0.04307847902076428,0.9854726423703483,0.00953458468025582,5
2000,back_loaded,"(9, 18, 36)",2075,0.9756666666666668,0.00445969605341987,0.9568800000000002,0.0034158616937912905,0.8947877626510172,0.02897145872159543,0.5704091250896454,0.07393412412536493,0.9902194760350144,0.008264862794058154,5
2000,front_loaded,"(48, 24, 12)",2036,0.9716666666666667,0.0029907264074877193,0.9576600000000001,0.007439548970797163,0.9004971879044756,0.05276519367745761,0.5384753823280335,0.034364158811208405,0.9880882657869569,0.01297639332115734,5
2000,uniform,"(23, 23, 23)",1941,0.9705999999999999,0.0037668141564044,0.9572733333333334,0.008399384898114103,0.923371606006801,0.02352833185997445,0.5489088356494903,0.04029717205056767,0.9937815479248847,0.0013908233545896769,5
5000,back_loaded,"(16, 32, 64)",4784,0.969,0.004755114205895728,0.9624600000000001,0.005293832889945278,0.9308552202835797,0.034344532690640577,0.5202021956443786,0.03554758604806647,0.9972138760934293,0.000922081325581629,5
5000,front_loaded,"(80, 40, 20)",4972,0.9742666666666666,0.0030313180118372533,0.9613400000000001,0.002168383934843788,0.9239374566563707,0.02016980610680988,0.5400570631027222,0.01892789707223435,0.9956968017183815,0.0014476939616942168,5
5000,uniform,"(41, 41, 41)",4911,0.9717333333333332,0.004105551796720571,0.9620933333333334,0.006988259996435292,0.9401686795634434,0.01430120187438713,0.5117636561393738,0.03775304140610902,0.9980967923268412,0.0007233266583802182,5
10000,back_loaded,"(25, 50, 100)",9707,0.9673333333333334,0.005700877125495763,0.9660066666666667,0.0035686443115309084,0.9470988766729634,0.006507578880809007,0.5128231763839721,0.013396811327934147,0.9982911237581377,0.001083133065349221,5
10000,front_loaded,"(116, 58, 29)",9805,0.9698,0.003219730837611557,0.9610133333333334,0.006943926202884858,0.9454864495433568,0.022223397383277662,0.5099079191684723,0.0490570175482081,0.998129596894439,0.000282303344736727,5
10000,uniform,"(62, 62, 62)",10014,0.9688000000000001,0.0065642127394600425,0.9664133333333333,0.0023281609337272107,0.9563149402420645,0.010682460999144003,0.49995225071907046,0.02098834817960033,0.9984861451952656,0.0007438273605169023,5
