seed,layer,accuracy,abs_euclidean_knn_loss,abs_geodesic_knn_loss,abs_distance_loss,abs_arc_r2_gain,abs_first_pc_gain,euclidean_knn,geodesic_knn,distance_corr,arc_r2,first_pc_variance,scheme_label
10,logits,0.91,0.1741666666666667,0.03926666666666667,0.151372611844802,-0.0007219852102635649,0.04139888286590576,0.8258333333333333,0.4514333333333333,0.848627388155198,0.9981134247599114,0.6270057559013367,intrinsic_arc
5,logits,0.9206666666666666,0.16649999999999998,0.04059999999999997,0.14964076127922876,-0.000496911447115056,-0.04961884021759033,0.8335,0.45226666666666665,0.8503592387207712,0.9983876495324149,0.551210343837738,intrinsic_arc
1,logits,0.908,0.19669999999999999,0.04749999999999999,0.11564362309115095,-0.0007906401682853392,0.029713153839111328,0.8033,0.44783333333333336,0.8843563769088489,0.998142733567377,0.6247643828392029,intrinsic_arc
3,logits,0.9186666666666666,0.1835,0.045433333333333326,0.10254950029270038,-0.00036404402869616437,0.08103841543197632,0.8165,0.4455333333333334,0.8974504997072996,0.998518405984261,0.6963471174240112,intrinsic_arc
4,logits,0.9193333333333333,0.18613333333333326,0.04529999999999995,0.10160743325871802,-0.0010887205274041634,0.03728210926055908,0.8138666666666667,0.45726666666666665,0.898392566741282,0.9977334479263565,0.6422533392906189,intrinsic_arc
2,logits,0.902,0.1789333333333334,0.04243333333333338,0.09993366581592045,-0.0005385066110407122,0.0724981427192688,0.8210666666666666,0.45436666666666664,0.9000663341840796,0.998198255359202,0.6637132167816162,intrinsic_arc
9,logits,0.922,0.18753333333333333,0.05173333333333335,0.08824517170395307,-0.0007908240821991042,0.06367027759552002,0.8124666666666667,0.4469333333333333,0.9117548282960469,0.997862435811979,0.6481055617332458,intrinsic_arc
7,logits,0.8983333333333333,0.1647333333333333,0.0408,0.08119776234315468,-0.00045443984040760554,1.2278556823730469e-05,0.8352666666666667,0.458,0.9188022376568453,0.9983187439055656,0.6049962043762207,intrinsic_arc
8,logits,0.924,0.1305666666666666,0.029066666666666685,0.07702372093453824,-0.0008067309048261917,-0.03960978984832764,0.8694333333333334,0.46223333333333333,0.9229762790654618,0.99788312277907,0.5458067655563354,intrinsic_arc
6,logits,0.9163333333333333,0.14079999999999993,0.02906666666666674,0.038545470460941145,-0.0005382268188531825,0.0629613995552063,0.8592000000000001,0.46906666666666663,0.9614545295390589,0.9983009358515864,0.638080894947052,intrinsic_arc
4,logits,0.885,0.7810666666666667,0.33583333333333326,0.6305058186274196,-0.4325634407499984,0.18593829870224,0.2189333333333333,0.16673333333333334,0.3694941813725804,0.5662587277037623,0.7909095287322998,observed_y
3,logits,0.8613333333333333,0.7191,0.2842666666666667,0.39944269088958295,-0.34795411492938866,0.01940995454788208,0.28090000000000004,0.2067,0.600557309110417,0.6509283350835685,0.634718656539917,observed_y
10,logits,0.8533333333333334,0.6656666666666666,0.24456666666666665,0.3643471642135898,-0.07210341767444806,0.16288882493972778,0.3343333333333333,0.24613333333333332,0.6356528357864102,0.9267319922957269,0.7484956979751587,observed_y
2,logits,0.8686666666666667,0.7130000000000001,0.28476666666666667,0.3342364536993824,-0.09697718161779978,0.2218683362007141,0.287,0.21203333333333335,0.6657635463006176,0.901759580352443,0.8130834102630615,observed_y
8,logits,0.8576666666666667,0.7494333333333334,0.3043,0.3331704559202454,-0.3952798552277037,0.18466836214065552,0.25056666666666666,0.187,0.6668295440797546,0.6034099984561925,0.7700849175453186,observed_y
5,logits,0.8983333333333333,0.7336333333333334,0.29713333333333325,0.32197262079762656,-0.5513026039903207,0.22680020332336426,0.26636666666666664,0.19573333333333334,0.6780273792023734,0.4475819569892092,0.8276293873786926,observed_y
7,logits,0.8373333333333334,0.7489666666666667,0.31020000000000003,0.3176480515137372,-0.5254526348724256,0.26595616340637207,0.25103333333333333,0.1886,0.6823519484862628,0.4733205488735477,0.870940089225769,observed_y
9,logits,0.836,0.6929666666666667,0.2644333333333333,0.3119035624598727,-0.2057907568173768,0.30101245641708374,0.3070333333333333,0.23423333333333335,0.6880964375401273,0.7928625030768013,0.8854477405548096,observed_y
1,logits,0.8373333333333334,0.758,0.32333333333333336,0.30384595643596546,-0.42671687784013523,0.33154207468032837,0.242,0.172,0.6961540435640344,0.5722164958955271,0.9265933036804199,observed_y
6,logits,0.8823333333333333,0.7208666666666667,0.2900666666666667,0.30159634588832007,-0.13986955058968442,0.38977694511413574,0.27913333333333334,0.20806666666666668,0.6984036541116799,0.8589696120807552,0.9648964405059814,observed_y
