scheme_label,layer,accuracy_mean,accuracy_std,euclidean_knn_mean,euclidean_knn_std,geodesic_knn_mean,geodesic_knn_std,distance_correlation_mean,distance_correlation_std,distance_corr_mean,distance_corr_std,arc_r2_mean,arc_r2_std,first_pc_mean,first_pc_std
intrinsic_arc,input,0.9139333333333333,0.008853819709977727,1.0,0.0,0.49561333333333335,0.004048935235739116,1.0,0.0,1.0,0.0,0.9988050185116816,9.015253324022155e-05,0.5942937552928924,0.012210143181171609
intrinsic_arc,hidden_1,0.9139333333333333,0.008853819709977727,0.9523800000000001,0.014753005134338863,0.48941,0.006502555053378804,0.9878903087278085,0.005703568562507289,0.9878903087278085,0.005703568562507289,0.9988183615625843,8.716292832596912e-05,0.526199933886528,0.018026780272916054
intrinsic_arc,hidden_2,0.9139333333333333,0.008853819709977727,0.9077000000000002,0.016560096319872583,0.4761166666666667,0.006136216109961251,0.9745368178680982,0.010784062934465804,0.9745368178680982,0.010784062934465804,0.9987548632435546,9.581035195775662e-05,0.5346025764942169,0.022783385525130307
intrinsic_arc,hidden_3,0.9139333333333333,0.008853819709977727,0.8658433333333335,0.013550700861105354,0.46632999999999997,0.00470110178837806,0.9449469892497394,0.016680243985892768,0.9449469892497394,0.016680243985892768,0.9984799191997922,0.00014480255622015598,0.5514608085155487,0.034484444715197814
intrinsic_arc,logits,0.9139333333333333,0.008853819709977727,0.8290433333333332,0.021077821999602203,0.4544933333333333,0.007366638176583086,0.8994240278974892,0.03358258949765176,0.8994240278974892,0.03358258949765176,0.9981459155477724,0.00025263960963714294,0.6242283582687378,0.046793324156714035
observed_y,input,0.8617333333333332,0.021841629749710913,1.0,0.0,0.49561333333333335,0.004048935235739116,1.0,0.0,1.0,0.0,0.9988050185116816,9.015253324022155e-05,0.5942937552928924,0.012210143181171609
observed_y,hidden_1,0.8617333333333332,0.021841629749710913,0.8744866666666666,0.02008297725210689,0.51395,0.005536862997388666,0.9381838733776989,0.02049299805680577,0.9381838733776989,0.02049299805680577,0.9988084730133753,8.89583100811643e-05,0.6610558867454529,0.042383708068788835
observed_y,hidden_2,0.8617333333333332,0.021841629749710913,0.47325333333333336,0.026100897293123322,0.3565666666666667,0.017255637833387596,0.6984416489700473,0.008858491139796473,0.6984416489700473,0.008858491139796473,0.9981928170300964,0.00030983426374360556,0.9275217652320862,0.03640152805475216
observed_y,hidden_3,0.8617333333333332,0.021841629749710913,0.29827333333333333,0.03031315894027331,0.22240000000000001,0.022985663809008,0.6661364883239009,0.037172726069287114,0.6661364883239009,0.037172726069287114,0.8465972666610702,0.09162994899960174,0.8154654085636139,0.09274438982389745
observed_y,logits,0.8617333333333332,0.021841629749710913,0.27172999999999997,0.033522693437560196,0.20172333333333334,0.025239089073973143,0.6381330879554258,0.09900283531075432,0.6381330879554258,0.09900283531075432,0.6794039750807533,0.17726897163643746,0.8232799172401428,0.0954601085425958
