seed,layer,accuracy,abs_euclidean_knn_loss,abs_geodesic_knn_loss,abs_distance_loss,abs_arc_r2_gain,abs_first_pc_gain,euclidean_knn,geodesic_knn,distance_corr,arc_r2,first_pc_variance
"(1,)",input,0.9726666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.8502666666666667,1.0,0.15899493774600082,0.5555803179740906
"(1,)",hidden_1,0.9726666666666667,0.04239999999999999,0.013899999999999912,0.033890018181139014,0.621706850197037,0.05129742622375488,0.9576,0.8363666666666668,0.966109981818861,0.7807017879430378,0.6068777441978455
"(1,)",hidden_2,0.9726666666666667,0.06046666666666656,0.018399999999999972,0.05097810557663518,0.7081642531984299,-0.0009919404983520508,0.9395333333333334,0.8318666666666668,0.9490218944233648,0.8671591909444307,0.5545883774757385
"(1,)",hidden_3,0.9726666666666667,0.061766666666666414,0.018233333333333324,0.07135797776776376,0.8351316630544818,0.02757161855697632,0.9382333333333336,0.8320333333333334,0.9286420222322362,0.9941266008004827,0.5831519365310669
"(1,)",logits,0.9726666666666667,0.0648333333333333,0.01866666666666672,0.08102619641687381,0.8300655876249001,0.05004805326461792,0.9351666666666667,0.8316,0.9189738035831262,0.989060525370901,0.6056283712387085
"(2,)",input,0.972,0.0,0.0,0.0,0.0,0.0,1.0,0.8529,1.0,0.1297188834917693,0.572632372379303
"(2,)",hidden_1,0.972,0.026633333333333176,0.011033333333333228,0.08514444053751691,0.15973287409739367,0.012278378009796143,0.9733666666666668,0.8418666666666668,0.9148555594624831,0.289451757589163,0.5849107503890991
"(2,)",hidden_2,0.972,0.03959999999999986,0.013900000000000023,0.10415503651763036,0.31492641543843847,0.09164309501647949,0.9604000000000001,0.839,0.8958449634823696,0.44464529893020777,0.6642754673957825
"(2,)",hidden_3,0.972,0.03283333333333338,0.01203333333333323,0.11237252020265553,0.750795939471931,0.018045365810394287,0.9671666666666666,0.8408666666666668,0.8876274797973445,0.8805148229637003,0.5906777381896973
"(2,)",logits,0.972,0.04523333333333324,0.011866666666666581,0.11297149891160663,0.679559545117701,0.005220174789428711,0.9547666666666668,0.8410333333333334,0.8870285010883934,0.8092784286094703,0.5778525471687317
"(3,)",input,0.9743333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.8441333333333334,1.0,0.14828572873094392,0.5721324682235718
"(3,)",hidden_1,0.9743333333333334,0.020399999999999974,0.0037000000000000366,0.053267941230909055,0.5738178122617376,-0.025262773036956787,0.9796,0.8404333333333334,0.946732058769091,0.7221035409926815,0.546869695186615
"(3,)",hidden_2,0.9743333333333334,0.040066666666666584,0.006800000000000028,0.10981017662705239,0.46823622833879563,0.13112425804138184,0.9599333333333334,0.8373333333333334,0.8901898233729476,0.6165219570697396,0.7032567262649536
"(3,)",hidden_3,0.9743333333333334,0.05386666666666662,0.008033333333333337,0.1166961946608025,0.815628593470582,0.057887136936187744,0.9461333333333334,0.8361000000000001,0.8833038053391975,0.963914322201526,0.6300196051597595
"(3,)",logits,0.9743333333333334,0.05279999999999985,0.008366666666666633,0.11681684273816073,0.8006375443657497,0.08993792533874512,0.9472000000000002,0.8357666666666668,0.8831831572618393,0.9489232730966937,0.6620703935623169
"(4,)",input,0.961,0.0,0.0,0.0,0.0,0.0,1.0,0.8542999999999998,1.0,0.11964889240978771,0.5630416870117188
"(4,)",hidden_1,0.961,0.06443333333333323,0.013366666666666416,0.1189008525644405,0.37993582614128096,0.06866282224655151,0.9355666666666668,0.8409333333333334,0.8810991474355595,0.4995847185510687,0.6317045092582703
"(4,)",hidden_2,0.961,0.08006666666666662,0.02049999999999963,0.18877723291692527,0.7806093400741849,0.08263540267944336,0.9199333333333334,0.8338000000000002,0.8112227670830747,0.9002582324839726,0.6456770896911621
"(4,)",hidden_3,0.961,0.08653333333333313,0.02386666666666648,0.2791858085447638,0.8066597435586974,0.08216416835784912,0.9134666666666669,0.8304333333333334,0.7208141914552362,0.9263086359684851,0.6452058553695679
"(4,)",logits,0.961,0.11119999999999985,0.04039999999999977,0.4167067974960149,0.7533378003336916,0.21100425720214844,0.8888000000000001,0.8139000000000001,0.5832932025039851,0.8729866927434793,0.7740459442138672
"(5,)",input,0.9633333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.8454333333333334,1.0,0.1412441808043946,0.550186276435852
"(5,)",hidden_1,0.9633333333333334,0.03466666666666662,0.005800000000000027,0.05456958999756867,0.5488505706962971,0.058802247047424316,0.9653333333333334,0.8396333333333333,0.9454304100024313,0.6900947515006917,0.6089885234832764
"(5,)",hidden_2,0.9633333333333334,0.04559999999999986,0.007433333333333181,0.0730111345279546,0.8008801581779619,-0.019193410873413086,0.9544000000000001,0.8380000000000002,0.9269888654720454,0.9421243389823565,0.530992865562439
"(5,)",hidden_3,0.9633333333333334,0.057433333333333225,0.012866666666666804,0.09674866291268569,0.7755542299099603,-0.08159041404724121,0.9425666666666668,0.8325666666666666,0.9032513370873143,0.9167984107143549,0.46859586238861084
"(5,)",logits,0.9633333333333334,0.0658333333333333,0.014866666666666584,0.11895606238211054,0.7586186505100492,-0.009880006313323975,0.9341666666666667,0.8305666666666668,0.8810439376178895,0.8998628313144438,0.5403062701225281
"(6,)",input,0.9576666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.8550666666666666,1.0,0.1477789195969702,0.5465722680091858
"(6,)",hidden_1,0.9576666666666667,0.034466666666666645,0.005900000000000016,0.11605906610193295,0.32486213584239,-0.008324921131134033,0.9655333333333334,0.8491666666666666,0.883940933898067,0.4726410554393602,0.5382473468780518
"(6,)",hidden_2,0.9576666666666667,0.04636666666666667,0.00853333333333317,0.1676458115851227,0.47357214377800383,-0.0530584454536438,0.9536333333333333,0.8465333333333335,0.8323541884148773,0.621351063374974,0.493513822555542
"(6,)",hidden_3,0.9576666666666667,0.05236666666666667,0.01076666666666648,0.1888981359886298,0.5828507590746977,-0.06369298696517944,0.9476333333333333,0.8443000000000002,0.8111018640113702,0.730629678671668,0.48287928104400635
"(6,)",logits,0.9576666666666667,0.054233333333333245,0.010999999999999899,0.1975354976691891,0.5174237874175942,-0.024661719799041748,0.9457666666666668,0.8440666666666667,0.8024645023308109,0.6652027070145644,0.521910548210144
"(7,)",input,0.96,0.0,0.0,0.0,0.0,0.0,1.0,0.8577666666666667,1.0,0.1363831327845858,0.5660474300384521
"(7,)",hidden_1,0.96,0.0232,0.0020000000000000018,0.040492090291571525,0.7314745854117735,-0.024543702602386475,0.9768,0.8557666666666667,0.9595079097084285,0.8678577181963593,0.5415037274360657
"(7,)",hidden_2,0.96,0.05726666666666658,0.011933333333333351,0.14942546499224185,0.7892840244300922,0.07002627849578857,0.9427333333333334,0.8458333333333333,0.8505745350077581,0.925667157214678,0.6360737085342407
"(7,)",hidden_3,0.96,0.06816666666666671,0.016200000000000103,0.19457791942299152,0.8285157351909842,0.13866102695465088,0.9318333333333333,0.8415666666666666,0.8054220805770085,0.96489886797557,0.704708456993103
"(7,)",logits,0.96,0.06403333333333316,0.013433333333333297,0.17067742208235093,0.8148496195700283,0.13170170783996582,0.9359666666666668,0.8443333333333334,0.8293225779176491,0.9512327523546141,0.697749137878418
"(8,)",input,0.963,0.0,0.0,0.0,0.0,0.0,1.0,0.8645333333333335,0.9999999999999999,0.1272429798523812,0.5441460609436035
"(8,)",hidden_1,0.963,0.03763333333333341,0.006000000000000005,0.06958278058009382,0.6189429805958501,0.10077518224716187,0.9623666666666666,0.8585333333333335,0.9304172194199061,0.7461859604482313,0.6449212431907654
"(8,)",hidden_2,0.963,0.043433333333333435,0.00880000000000003,0.09861742875737589,0.6959522682610046,0.1226201057434082,0.9565666666666666,0.8557333333333335,0.901382571242624,0.8231952481133858,0.6667661666870117
"(8,)",hidden_3,0.963,0.050966666666666494,0.010866666666666802,0.13327249515368933,0.7770652811643106,0.1818827986717224,0.9490333333333335,0.8536666666666667,0.8667275048463106,0.9043082610166918,0.7260288596153259
"(8,)",logits,0.963,0.058466666666666556,0.01326666666666676,0.15142667451991287,0.7222350122877158,0.23032522201538086,0.9415333333333334,0.8512666666666667,0.848573325480087,0.849477992140097,0.7744712829589844
"(9,)",input,0.9653333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.8626,1.0,0.11923761502945696,0.5582457184791565
"(9,)",hidden_1,0.9653333333333334,0.023799999999999932,0.0016333333333333755,0.07384317220550485,0.5226981695606784,0.005622923374176025,0.9762000000000001,0.8609666666666667,0.9261568277944952,0.6419357845901353,0.5638686418533325
"(9,)",hidden_2,0.9653333333333334,0.04263333333333319,0.0044999999999999485,0.1436926064013998,0.7208534840614036,0.021658658981323242,0.9573666666666668,0.8581000000000001,0.8563073935986002,0.8400910990908605,0.5799043774604797
"(9,)",hidden_3,0.9653333333333334,0.04366666666666663,0.005133333333333323,0.15849800360813915,0.7213415539571584,0.03664654493331909,0.9563333333333334,0.8574666666666667,0.8415019963918609,0.8405791689866153,0.5948922634124756
"(9,)",logits,0.9653333333333334,0.047599999999999865,0.006099999999999994,0.16438784707427112,0.6613818958742094,0.027938783168792725,0.9524000000000001,0.8565,0.8356121529257289,0.7806195109036663,0.5861845016479492
"(10,)",input,0.953,0.0,0.0,0.0,0.0,0.0,1.0,0.8502333333333333,1.0,0.1578381180994659,0.5520609617233276
"(10,)",hidden_1,0.953,0.03083333333333338,0.0022999999999998577,0.10047574351188693,0.5516509976126571,-0.016214370727539062,0.9691666666666666,0.8479333333333334,0.8995242564881131,0.709489115712123,0.5358465909957886
"(10,)",hidden_2,0.953,0.05060000000000009,0.009633333333333272,0.1722014158511238,0.744078290042768,0.035748839378356934,0.9493999999999999,0.8406,0.8277985841488762,0.901916408142234,0.5878098011016846
"(10,)",hidden_3,0.953,0.043266666666666675,0.007766666666666477,0.170530516249636,0.7800209390368353,-0.02637922763824463,0.9567333333333333,0.8424666666666668,0.829469483750364,0.9378590571363012,0.525681734085083
"(10,)",logits,0.953,0.03823333333333345,0.007133333333333214,0.17958778716166257,0.7603369507757519,-0.004508316516876221,0.9617666666666665,0.8431000000000001,0.8204122128383374,0.9181750688752178,0.5475526452064514
